pose_id,pose_name,category,mode,view,canvas,yaw,pitch,bbox_x,bbox_y,bbox_w,bbox_h,clipped,occupation_pct,silhouette_pct,margin_top,margin_bottom,margin_left,margin_right
crouching-prowl,"Crouching Prowl",eccentric,ghost,0/0,160x180,0,0,38.6,17.1,91.8,99.2,0,31.6,39.0,17.1,63.6,38.6,29.7
crouching-prowl,"Crouching Prowl",eccentric,ghost,90/0,160x180,90,0,50.9,17.1,68.7,99.2,0,23.7,42.2,17.1,63.6,50.9,40.4
crouching-prowl,"Crouching Prowl",eccentric,ghost,45/0,160x180,45,0,43.3,17.1,83.8,99.2,0,28.9,42.0,17.1,63.6,43.3,33.0
leap-forward,"Leap Forward",dynamic,avatar,0/0,160x180,0,0,50.1,16.9,59.8,140.5,0,29.2,14.0,16.9,22.6,50.1,50.1
leap-forward,"Leap Forward",dynamic,avatar,90/0,160x180,90,0,37.1,16.9,108.8,140.5,0,53.1,11.5,16.9,22.6,37.1,14.2
leap-forward,"Leap Forward",dynamic,avatar,45/0,160x180,45,0,50.0,16.9,76.2,140.5,0,37.2,12.5,16.9,22.6,50.0,33.8
leap-forward,"Leap Forward",dynamic,skeleton,0/0,160x180,0,0,50.1,16.9,59.8,140.5,0,29.2,48.3,16.9,22.6,50.1,50.1
leap-forward,"Leap Forward",dynamic,skeleton,90/0,160x180,90,0,37.1,16.9,108.8,140.5,0,53.1,47.1,16.9,22.6,37.1,14.2
leap-forward,"Leap Forward",dynamic,skeleton,45/0,160x180,45,0,50.0,16.9,76.2,140.5,0,37.2,47.7,16.9,22.6,50.0,33.8
leap-forward,"Leap Forward",dynamic,ghost,0/0,160x180,0,0,50.1,16.9,59.8,140.5,0,29.2,36.1,16.9,22.6,50.1,50.1
leap-forward,"Leap Forward",dynamic,ghost,90/0,160x180,90,0,37.1,16.9,108.8,140.5,0,53.1,36.7,16.9,22.6,37.1,14.2
leap-forward,"Leap Forward",dynamic,ghost,45/0,160x180,45,0,50.0,16.9,76.2,140.5,0,37.2,36.2,16.9,22.6,50.0,33.8
arms-overhead,"Arms Overhead",standing,avatar,0/0,160x180,0,0,39.3,-11.2,88.5,169.9,1,52.2,11.0,-11.2,21.3,39.3,32.2
arms-overhead,"Arms Overhead",standing,avatar,90/0,160x180,90,0,53.6,-11.2,61.3,169.9,1,36.2,7.7,-11.2,21.3,53.6,45.1
arms-overhead,"Arms Overhead",standing,avatar,45/0,160x180,45,0,44.9,-11.2,82.6,169.9,1,48.7,9.9,-11.2,21.3,44.9,32.5
arms-overhead,"Arms Overhead",standing,skeleton,0/0,160x180,0,0,39.3,-11.2,88.5,169.9,1,52.2,48.3,-11.2,21.3,39.3,32.2
arms-overhead,"Arms Overhead",standing,skeleton,90/0,160x180,90,0,53.6,-11.2,61.3,169.9,1,36.2,47.1,-11.2,21.3,53.6,45.1
arms-overhead,"Arms Overhead",standing,skeleton,45/0,160x180,45,0,44.9,-11.2,82.6,169.9,1,48.7,47.7,-11.2,21.3,44.9,32.5
arms-overhead,"Arms Overhead",standing,ghost,0/0,160x180,0,0,39.3,-11.2,88.5,169.9,1,52.2,33.5,-11.2,21.3,39.3,32.2
arms-overhead,"Arms Overhead",standing,ghost,90/0,160x180,90,0,53.6,-11.2,61.3,169.9,1,36.2,33.5,-11.2,21.3,53.6,45.1
arms-overhead,"Arms Overhead",standing,ghost,45/0,160x180,45,0,44.9,-11.2,82.6,169.9,1,48.7,33.6,-11.2,21.3,44.9,32.5
cross-body-arm,"Cross Body",eccentric,avatar,0/0,160x180,0,0,50.1,15.6,77.8,144.4,0,39.0,18.2,15.6,20.0,50.1,32.1
cross-body-arm,"Cross Body",eccentric,avatar,90/0,160x180,90,0,62.0,15.6,50.6,144.4,0,25.4,10.5,15.6,20.0,62.0,47.5
cross-body-arm,"Cross Body",eccentric,avatar,45/0,160x180,45,0,54.0,15.6,74.5,144.4,0,37.4,16.6,15.6,20.0,54.0,31.5
cross-body-arm,"Cross Body",eccentric,skeleton,0/0,160x180,0,0,50.1,15.6,77.8,144.4,0,39.0,50.5,15.6,20.0,50.1,32.1
cross-body-arm,"Cross Body",eccentric,skeleton,90/0,160x180,90,0,62.0,15.6,50.6,144.4,0,25.4,48.3,15.6,20.0,62.0,47.5
cross-body-arm,"Cross Body",eccentric,skeleton,45/0,160x180,45,0,54.0,15.6,74.5,144.4,0,37.4,49.8,15.6,20.0,54.0,31.5
cross-body-arm,"Cross Body",eccentric,ghost,0/0,160x180,0,0,50.1,15.6,77.8,144.4,0,39.0,36.2,15.6,20.0,50.1,32.1
cross-body-arm,"Cross Body",eccentric,ghost,90/0,160x180,90,0,62.0,15.6,50.6,144.4,0,25.4,35.8,15.6,20.0,62.0,47.5
cross-body-arm,"Cross Body",eccentric,ghost,45/0,160x180,45,0,54.0,15.6,74.5,144.4,0,37.4,36.2,15.6,20.0,54.0,31.5
face-touch,"Face Touch",eccentric,avatar,0/0,160x180,0,0,34.4,18.5,94.6,141.5,0,46.5,19.1,18.5,20.0,34.4,31.0
face-touch,"Face Touch",eccentric,avatar,90/0,160x180,90,0,64.2,18.5,50.1,141.5,0,24.6,11.4,18.5,20.0,64.2,45.7
face-touch,"Face Touch",eccentric,avatar,45/0,160x180,45,0,49.7,18.5,82.6,141.5,0,40.6,17.7,18.5,20.0,49.7,27.6
face-touch,"Face Touch",eccentric,skeleton,0/0,160x180,0,0,34.4,18.5,94.6,141.5,0,46.5,50.5,18.5,20.0,34.4,31.0
face-touch,"Face Touch",eccentric,skeleton,90/0,160x180,90,0,64.2,18.5,50.1,141.5,0,24.6,48.3,18.5,20.0,64.2,45.7
face-touch,"Face Touch",eccentric,skeleton,45/0,160x180,45,0,49.7,18.5,82.6,141.5,0,40.6,49.8,18.5,20.0,49.7,27.6
face-touch,"Face Touch",eccentric,ghost,0/0,160x180,0,0,34.4,18.5,94.6,141.5,0,46.5,36.7,18.5,20.0,34.4,31.0
face-touch,"Face Touch",eccentric,ghost,90/0,160x180,90,0,64.2,18.5,50.1,141.5,0,24.6,36.2,18.5,20.0,64.2,45.7
face-touch,"Face Touch",eccentric,ghost,45/0,160x180,45,0,49.7,18.5,82.6,141.5,0,40.6,36.5,18.5,20.0,49.7,27.6
hip-shift,"Hip Shift",standing,avatar,0/0,160x180,0,0,32.8,17.9,86.7,140.5,0,42.3,15.7,17.9,21.6,32.8,40.5
hip-shift,"Hip Shift",standing,avatar,90/0,160x180,90,0,48.4,17.9,72.4,140.5,0,35.3,10.5,17.9,21.6,48.4,39.3
hip-shift,"Hip Shift",standing,avatar,45/0,160x180,45,0,41.8,17.9,87.6,140.5,0,42.7,13.9,17.9,21.6,41.8,30.6
hip-shift,"Hip Shift",standing,skeleton,0/0,160x180,0,0,32.8,17.9,86.7,140.5,0,42.3,48.3,17.9,21.6,32.8,40.5
hip-shift,"Hip Shift",standing,skeleton,90/0,160x180,90,0,48.4,17.9,72.4,140.5,0,35.3,47.1,17.9,21.6,48.4,39.3
hip-shift,"Hip Shift",standing,skeleton,45/0,160x180,45,0,41.8,17.9,87.6,140.5,0,42.7,47.7,17.9,21.6,41.8,30.6
hip-shift,"Hip Shift",standing,ghost,0/0,160x180,0,0,32.8,17.9,86.7,140.5,0,42.3,36.2,17.9,21.6,32.8,40.5
hip-shift,"Hip Shift",standing,ghost,90/0,160x180,90,0,48.4,17.9,72.4,140.5,0,35.3,36.5,17.9,21.6,48.4,39.3
hip-shift,"Hip Shift",standing,ghost,45/0,160x180,45,0,41.8,17.9,87.6,140.5,0,42.7,36.6,17.9,21.6,41.8,30.6
editorial-extreme-forward-lean,"Extreme Forward Lean",editorial,avatar,0/0,160x180,0,0,48.4,23.2,96.1,134.1,0,44.7,17.7,23.2,22.7,48.4,15.5
editorial-extreme-forward-lean,"Extreme Forward Lean",editorial,avatar,90/0,160x180,90,0,63.0,23.2,65.0,134.1,0,30.3,11.7,23.2,22.7,63.0,32.0
editorial-extreme-forward-lean,"Extreme Forward Lean",editorial,avatar,45/0,160x180,45,0,52.2,23.2,92.5,134.1,0,43.1,16.1,23.2,22.7,52.2,15.3
editorial-extreme-forward-lean,"Extreme Forward Lean",editorial,skeleton,0/0,160x180,0,0,48.4,23.2,96.1,134.1,0,44.7,48.3,23.2,22.7,48.4,15.5
editorial-extreme-forward-lean,"Extreme Forward Lean",editorial,skeleton,90/0,160x180,90,0,63.0,23.2,65.0,134.1,0,30.3,47.1,23.2,22.7,63.0,32.0
editorial-extreme-forward-lean,"Extreme Forward Lean",editorial,skeleton,45/0,160x180,45,0,52.2,23.2,92.5,134.1,0,43.1,47.7,23.2,22.7,52.2,15.3
editorial-extreme-forward-lean,"Extreme Forward Lean",editorial,ghost,0/0,160x180,0,0,48.4,23.2,96.1,134.1,0,44.7,38.2,23.2,22.7,48.4,15.5
editorial-extreme-forward-lean,"Extreme Forward Lean",editorial,ghost,90/0,160x180,90,0,63.0,23.2,65.0,134.1,0,30.3,37.0,23.2,22.7,63.0,32.0
editorial-extreme-forward-lean,"Extreme Forward Lean",editorial,ghost,45/0,160x180,45,0,52.2,23.2,92.5,134.1,0,43.1,37.5,23.2,22.7,52.2,15.3
wall-lean,"Wall Lean",leaning,avatar,0/0,160x180,0,0,24.3,16.9,109.1,144.7,0,54.9,42.7,16.9,18.3,24.3,26.6
wall-lean,"Wall Lean",leaning,avatar,90/0,160x180,90,0,64.2,16.9,44.7,144.7,0,22.5,10.4,16.9,18.3,64.2,51.1
wall-lean,"Wall Lean",leaning,avatar,45/0,160x180,45,0,40.6,16.9,91.0,144.7,0,45.7,33.0,16.9,18.3,40.6,28.4
wall-lean,"Wall Lean",leaning,skeleton,0/0,160x180,0,0,24.3,16.9,109.1,144.7,0,54.9,60.2,16.9,18.3,24.3,26.6
wall-lean,"Wall Lean",leaning,skeleton,90/0,160x180,90,0,64.2,16.9,44.7,144.7,0,22.5,47.5,16.9,18.3,64.2,51.1
wall-lean,"Wall Lean",leaning,skeleton,45/0,160x180,45,0,40.6,16.9,91.0,144.7,0,45.7,55.6,16.9,18.3,40.6,28.4
wall-lean,"Wall Lean",leaning,ghost,0/0,160x180,0,0,24.3,16.9,109.1,144.7,0,54.9,36.3,16.9,18.3,24.3,26.6
wall-lean,"Wall Lean",leaning,ghost,90/0,160x180,90,0,64.2,16.9,44.7,144.7,0,22.5,35.7,16.9,18.3,64.2,51.1
wall-lean,"Wall Lean",leaning,ghost,45/0,160x180,45,0,40.6,16.9,91.0,144.7,0,45.7,36.0,16.9,18.3,40.6,28.4
chair-lean-forward,"Chair Lean",seated,avatar,0/0,160x180,0,0,50.1,18.4,59.8,88.1,0,18.3,33.2,18.4,73.5,50.1,50.1
